PAISSUENO,PAISSUEDATE,PAISSUELINENO,SONUMBER,SOLINENO,LINCODE7,PACKID,PACKBARCODE,PACKTYPE,PAISSUEQTY
0420-MSO-00001,13/09/2017,180,0420-MSO-00001,180,F371026,90008,3371026900085,H,1
0420-MSO-00001,13/09/2017,181,0420-MSO-00001,181,F371026,90010,3371026900108,H,1
0420-MSO-00001,13/09/2017,182,0420-MSO-00001,182,F371026,90009,3371026900092,H,1
0420-MSO-00001,13/09/2017,183,0420-MSO-00001,183,F371028,90009,3371028900090,H,1
0420-MSO-00001,13/09/2017,184,0420-MSO-00001,184,F371028,90010,3371028900106,H,0
0420-MSO-00001,13/09/2017,185,0420-MSO-00001,185,F371028,90008,3371028900083,H,1
0420-MSO-00001,13/09/2017,186,0420-MSO-00001,186,F371070,90010,3371070900109,H,1
0420-MSO-00001,13/09/2017,187,0420-MSO-00001,187,F371070,90009,3371070900093,H,1
0420-MSO-00001,13/09/2017,188,0420-MSO-00001,188,F371070,90008,3371070900086,H,1
0420-MSO-00001,13/09/2017,189,0420-MSO-00001,189,F371077,90008,3371077900089,H,1
0420-MSO-00001,13/09/2017,190,0420-MSO-00001,190,F371077,90009,3371077900096,H,1
0420-MSO-00001,13/09/2017,191,0420-MSO-00001,191,F371077,90010,3371077900102,H,1
0420-MSO-00001,13/09/2017,192,0420-MSO-00001,192,F371082,90008,3371082900081,H,1
0420-MSO-00001,13/09/2017,193,0420-MSO-00001,193,F371084,90008,3371084900089,H,1
0420-MSO-00001,13/09/2017,194,0420-MSO-00001,194,F371084,90010,3371084900102,H,1
0420-MSO-00001,13/09/2017,195,0420-MSO-00001,195,F371084,90009,3371084900096,H,1
0420-MSO-00001,13/09/2017,196,0420-MSO-00001,196,F371085,90009,3371085900095,H,0
0420-MSO-00001,13/09/2017,197,0420-MSO-00001,197,F371085,90010,3371085900101,H,1
0420-MSO-00001,13/09/2017,198,0420-MSO-00001,198,F371085,90008,3371085900088,H,1
0420-MSO-00001,13/09/2017,199,0420-MSO-00001,199,F371087,90008,3371087900086,H,1
0420-MSO-00001,13/09/2017,200,0420-MSO-00001,200,F371087,90010,3371087900109,H,1
0420-MSO-00001,13/09/2017,201,0420-MSO-00001,201,F371087,90009,3371087900093,H,1
0420-MSO-00001,13/09/2017,202,0420-MSO-00001,202,F371115,90009,3371115900095,H,1
0420-MSO-00001,13/09/2017,203,0420-MSO-00001,203,F371115,90010,3371115900101,H,1
0420-MSO-00001,13/09/2017,204,0420-MSO-00001,204,F371115,90008,3371115900088,H,1
0420-MSO-00001,13/09/2017,205,0420-MSO-00001,205,F371167,90008,3371167900081,H,1
0420-MSO-00001,13/09/2017,206,0420-MSO-00001,206,F371167,90010,3371167900104,H,0
0420-MSO-00001,13/09/2017,207,0420-MSO-00001,207,F371167,90009,3371167900098,H,0
0420-MSO-00001,13/09/2017,208,0420-MSO-00001,208,F371171,90009,3371171900091,H,0
0420-MSO-00001,13/09/2017,209,0420-MSO-00001,209,F371171,90010,3371171900107,H,0
0420-MSO-00001,13/09/2017,210,0420-MSO-00001,210,F371171,90008,3371171900084,H,1
0420-MSO-00001,13/09/2017,211,0420-MSO-00001,211,F390013,90008,3390013900082,BH,1
0420-MSO-00001,13/09/2017,212,0420-MSO-00001,212,F390014,90008,3390014900081,BH,1
0420-MSO-00001,13/09/2017,213,0420-MSO-00001,213,F390032,90008,3390032900087,BH,1
0420-MSO-00001,13/09/2017,214,0420-MSO-00001,214,F390033,90008,3390033900086,BH,1
0420-MSO-00001,13/09/2017,215,0420-MSO-00001,215,F390049,90008,3390049900087,BH,1
0420-MSO-00001,13/09/2017,216,0420-MSO-00001,216,F390050,90008,3390050900083,BH,1
0420-MSO-00001,13/09/2017,217,0420-MSO-00001,217,F390053,90010,3390053900103,H,1
0420-MSO-00001,13/09/2017,218,0420-MSO-00001,218,F390053,90009,3390053900097,H,1
0420-MSO-00001,13/09/2017,219,0420-MSO-00001,219,F390070,90009,3390070900094,H,1
0420-MSO-00001,13/09/2017,220,0420-MSO-00001,220,F390070,90010,3390070900100,H,1
0420-MSO-00001,13/09/2017,221,0420-MSO-00001,221,F390076,90009,3390076900098,H,1
0420-MSO-00001,13/09/2017,222,0420-MSO-00001,222,F405341,90009,3405341900090,H,1
0420-MSO-00001,13/09/2017,223,0420-MSO-00001,223,F405341,90008,3405341900083,H,1
0420-MSO-00001,13/09/2017,224,0420-MSO-00001,224,F410112,90009,3410112900094,H,1
0420-MSO-00001,13/09/2017,225,0420-MSO-00001,225,F410112,90010,3410112900100,H,1
0420-MSO-00001,13/09/2017,226,0420-MSO-00001,226,F410112,90008,3410112900087,H,1
0420-MSO-00001,13/09/2017,227,0420-MSO-00001,227,F410143,90009,3410143900094,H,1
0420-MSO-00001,13/09/2017,228,0420-MSO-00001,228,F410168,90008,3410168900086,H,1
0420-MSO-00001,13/09/2017,229,0420-MSO-00001,229,F410168,90009,3410168900093,H,1
0420-MSO-00001,13/09/2017,230,0420-MSO-00001,230,F410168,90010,3410168900109,H,1
0420-MSO-00001,13/09/2017,231,0420-MSO-00001,231,F410177,90008,3410177900084,H,1
0420-MSO-00001,13/09/2017,232,0420-MSO-00001,232,F410177,90007,3410177900077,H,1
0420-MSO-00001,13/09/2017,233,0420-MSO-00001,233,F410177,90006,3410177900060,H,1
0420-MSO-00001,13/09/2017,234,0420-MSO-00001,234,F410190,90006,3410190900061,H,1
0420-MSO-00001,13/09/2017,235,0420-MSO-00001,235,F410190,90007,3410190900078,H,1
0420-MSO-00001,13/09/2017,236,0420-MSO-00001,236,F410190,90005,3410190900054,H,1
0420-MSO-00001,13/09/2017,237,0420-MSO-00001,237,F410214,90005,3410214900053,H,1
0420-MSO-00001,13/09/2017,238,0420-MSO-00001,238,F410214,90007,3410214900077,H,1
0420-MSO-00001,13/09/2017,239,0420-MSO-00001,239,F410214,90006,3410214900060,H,1
0420-MSO-00001,13/09/2017,240,0420-MSO-00001,240,F420180,90003,3420180900032,H,1
0420-MSO-00001,13/09/2017,241,0420-MSO-00001,241,F420181,90003,3420181900031,H,1
0420-MSO-00001,13/09/2017,242,0420-MSO-00001,242,F480036,90008,3480036900081,H,1
0420-MSO-00001,13/09/2017,243,0420-MSO-00001,243,F480036,90011,3480036900111,H,1
0420-MSO-00001,13/09/2017,244,0420-MSO-00001,244,F480044,90008,3480044900080,H,1
0420-MSO-00001,13/09/2017,245,0420-MSO-00001,245,F480044,90009,3480044900097,H,1
0420-MSO-00001,13/09/2017,246,0420-MSO-00001,246,F480044,90010,3480044900103,H,1
0420-MSO-00001,13/09/2017,247,0420-MSO-00001,247,F480074,90010,3480074900104,H,1
0420-MSO-00001,13/09/2017,248,0420-MSO-00001,248,F520097,90005,3520097900054,BH,1
0420-MSO-00001,13/09/2017,249,0420-MSO-00001,249,F520109,90005,3520109900058,BH,1
0420-MSO-00001,13/09/2017,250,0420-MSO-00001,250,F520121,90005,3520121900050,BH,1
0420-MSO-00001,13/09/2017,251,0420-MSO-00001,251,F520122,90005,3520122900059,BH,1
0420-MSO-00001,13/09/2017,252,0420-MSO-00001,252,F520125,90007,3520125900070,BH,1
0420-MSO-00001,13/09/2017,253,0420-MSO-00001,253,F520129,90005,3520129900052,BH,1
0420-MSO-00001,13/09/2017,254,0420-MSO-00001,254,F580055,90009,3580055900090,H,1
0420-MSO-00001,13/09/2017,255,0420-MSO-00001,255,F580055,90008,3580055900083,H,1
0420-MSO-00001,13/09/2017,256,0420-MSO-00001,256,F580055,90007,3580055900076,H,1
0420-MSO-00001,13/09/2017,257,0420-MSO-00001,257,F580068,90007,3580068900070,H,1
0420-MSO-00001,13/09/2017,258,0420-MSO-00001,258,F580068,90008,3580068900087,H,1
0420-MSO-00001,13/09/2017,259,0420-MSO-00001,259,F580089,90008,3580089900080,H,1
0420-MSO-00001,13/09/2017,260,0420-MSO-00001,260,F580089,90007,3580089900073,H,1
0420-MSO-00001,13/09/2017,261,0420-MSO-00001,261,F774135,90007,3774135900074,BH,1
0420-MSO-00001,13/09/2017,262,0420-MSO-00001,262,F774205,90010,3774205900102,H,1
0420-MSO-00001,13/09/2017,263,0420-MSO-00001,263,F774205,90009,3774205900096,H,1
0420-MSO-00001,13/09/2017,264,0420-MSO-00001,264,F774205,90008,3774205900089,H,1
0420-MSO-00001,13/09/2017,265,0420-MSO-00001,265,F774206,90008,3774206900088,H,1
0420-MSO-00001,13/09/2017,266,0420-MSO-00001,266,F774206,90009,3774206900095,H,1
0420-MSO-00001,13/09/2017,267,0420-MSO-00001,267,F774206,90010,3774206900101,H,1
0420-MSO-00001,13/09/2017,268,0420-MSO-00001,268,F774244,90005,3774244900057,BH,1
0420-MSO-00001,13/09/2017,269,0420-MSO-00001,269,F774249,90005,3774249900052,BH,1
0420-MSO-00001,13/09/2017,270,0420-MSO-00001,270,F774250,90005,3774250900058,BH,1
0420-MSO-00001,13/09/2017,271,0420-MSO-00001,271,F774251,90008,3774251900088,BH,1
0420-MSO-00001,13/09/2017,272,0420-MSO-00001,272,F774252,90008,3774252900087,BH,1
0420-MSO-00001,13/09/2017,273,0420-MSO-00001,273,F774310,90008,3774310900080,BH,0
0420-MSO-00001,13/09/2017,274,0420-MSO-00001,274,F972225,90007,3972225900076,BH,1
0420-MSO-00001,13/09/2017,275,0420-MSO-00001,275,F972227,90007,3972227900074,BH,1
0420-MSO-00001,13/09/2017,276,0420-MSO-00001,276,G320726,90006,4320726900061,BH,1
0420-MSO-00001,13/09/2017,277,0420-MSO-00001,277,G320727,90007,4320727900077,BH,1
0420-MSO-00001,13/09/2017,278,0420-MSO-00001,278,G320818,90006,4320818900061,BH,1
0420-MSO-00001,13/09/2017,279,0420-MSO-00001,279,G320819,90007,4320819900077,BH,1
0420-MSO-00001,13/09/2017,280,0420-MSO-00001,280,G320842,90006,4320842900068,BH,1
0420-MSO-00001,13/09/2017,281,0420-MSO-00001,281,G320843,90007,4320843900074,BH,1
0420-MSO-00001,13/09/2017,282,0420-MSO-00001,282,G320878,90006,4320878900063,BH,1
0420-MSO-00001,13/09/2017,283,0420-MSO-00001,283,G320879,90007,4320879900079,BH,1
0420-MSO-00001,13/09/2017,284,0420-MSO-00001,284,G420161,90007,4420161900074,H,1
0420-MSO-00001,13/09/2017,285,0420-MSO-00001,285,G420161,90006,4420161900067,H,1
0420-MSO-00001,13/09/2017,286,0420-MSO-00001,286,G420162,90007,4420162900073,H,1
0420-MSO-00001,13/09/2017,287,0420-MSO-00001,287,G420162,90008,4420162900080,H,1
0420-MSO-00001,13/09/2017,288,0420-MSO-00001,288,G420167,90007,4420167900078,H,1
0420-MSO-00001,13/09/2017,289,0420-MSO-00001,289,G420167,90006,4420167900061,H,1
0420-MSO-00001,13/09/2017,290,0420-MSO-00001,290,G420168,90007,4420168900077,H,1
0420-MSO-00001,13/09/2017,291,0420-MSO-00001,291,G420168,90008,4420168900084,H,1
0420-MSO-00001,13/09/2017,292,0420-MSO-00001,292,G420179,90007,4420179900073,H,1
0420-MSO-00001,13/09/2017,293,0420-MSO-00001,293,G420179,90006,4420179900066,H,1
0420-MSO-00001,13/09/2017,294,0420-MSO-00001,294,G420180,90007,4420180900079,H,1
0420-MSO-00001,13/09/2017,295,0420-MSO-00001,295,G420180,90008,4420180900086,H,1
0420-MSO-00001,13/09/2017,296,0420-MSO-00001,296,G420187,90007,4420187900072,H,0
0420-MSO-00001,13/09/2017,297,0420-MSO-00001,297,G420187,90006,4420187900065,H,1
0420-MSO-00001,13/09/2017,298,0420-MSO-00001,298,G420188,90007,4420188900071,H,1
0420-MSO-00001,13/09/2017,299,0420-MSO-00001,299,G420188,90008,4420188900088,H,1
0420-MSO-00001,13/09/2017,300,0420-MSO-00001,300,G430008,90007,4430008900075,H,1
0420-MSO-00001,13/09/2017,301,0420-MSO-00001,301,M210223,90011,6210223900115,B,1
0420-MSO-00001,13/09/2017,302,0420-MSO-00001,302,M210240,90009,6210240900099,B,1
0420-MSO-00001,13/09/2017,303,0420-MSO-00001,303,M210241,90009,6210241900098,B,1
0420-MSO-00001,13/09/2017,304,0420-MSO-00001,304,M210284,90009,6210284900093,B,1
0420-MSO-00001,13/09/2017,305,0420-MSO-00001,305,M250037,90006,6250037900062,BH,1
0420-MSO-00001,13/09/2017,306,0420-MSO-00001,306,M250049,90007,6250049900074,BH,1
0420-MSO-00001,13/09/2017,307,0420-MSO-00001,307,M291492,90006,6291492900068,BH,1
0420-MSO-00001,13/09/2017,308,0420-MSO-00001,308,M291493,90006,6291493900067,BH,1
0420-MSO-00001,13/09/2017,309,0420-MSO-00001,309,M312173,90002,6312173900020,BH,1
0420-MSO-00001,13/09/2017,310,0420-MSO-00001,310,M312176,90002,6312176900027,BH,1
0420-MSO-00001,13/09/2017,311,0420-MSO-00001,311,M312183,90002,6312183900027,BH,1
0420-MSO-00001,13/09/2017,312,0420-MSO-00001,312,M312191,90001,6312191900019,BH,1
0420-MSO-00001,13/09/2017,313,0420-MSO-00001,313,M312258,90002,6312258900020,BH,1
0420-MSO-00001,13/09/2017,314,0420-MSO-00001,314,M312259,90002,6312259900029,BH,1
