Container Reference,Despatch Date,Sub-Dept,Dummy Nest Product,Linecode,Pack ID,Description,Delivery location,Season,Pack Qty,Pack Type,Qty
TRANSFER04,10-Sep-17,L1101,,F281819,90008,RUFFLE SLV STRIPE BOX,420,W17,17,BH,119
TRANSFER04,10-Sep-17,L1101,,F281836,90008,LACE YOKE SWEAT TUNIC,420,W17,17,BH,68
TRANSFER04,10-Sep-17,L2501,,F774134,90008,APRIL ANKLE GRAZER,420,W17,21,BH,63
TRANSFER04,10-Sep-17,L2602,,F774191,90005,TAPERED JOG TBC,420,W17,15,BH,105
TRANSFER04,10-Sep-17,L2602,,F774193,90005,TAPERED JOG TEX,420,W17,20,BH,120
TRANSFER04,10-Sep-17,L2603,,F774116,90005,LONGLINE HOODY,420,W17,20,BH,20
TRANSFER04,10-Sep-17,L2603,,F774117,90005,LONGLINE HOODY,420,W17,20,BH,120
TRANSFER04,10-Sep-17,L2603,,F774198,90005,ZIP HOODY TBC,420,W17,20,BH,100
TRANSFER04,10-Sep-17,L3001,,F405357,90018,ANIMAL PRINTED TEXTURED JERSEY,420,W17,8,BH,16
TRANSFER04,10-Sep-17,L3101,,F440010,90008,DEAL PRINTED TEE,420,W17,17,BH,17
TRANSFER04,10-Sep-17,L3601,,F420161,90008,PIPED HALTER SWIMSUIT,420,W17,18,BH,54
TRANSFER04,10-Sep-17,L3702,,F364234,90001,SUPER ENHANCE LEOPARD PRINT,420,W17,23,BH,69
TRANSFER04,10-Sep-17,L3803,,F364436,90005,WOODLAND SLOGAN NIGHTIE,420,W17,20,BH,20
TRANSFER04,10-Sep-17,M0502,,M430180,90007,CREW NEPP RAGLAN TEE,420,W17,24,BH,72
TRANSFER04,10-Sep-17,M0502,,M430193,90007,NEPP STRIPE TEE,420,W17,24,BH,96
TRANSFER04,10-Sep-17,M0502,,M430195,90007,BLOCK STRIPE TEE,420,W17,24,BH,144
TRANSFER04,10-Sep-17,M0502,,M430220,90007,GRINDLE STRIPE TEE,420,W17,24,BH,96
TRANSFER04,10-Sep-17,M0503,,M430253,90007,CONTRAST COLLAR POLO,420,W17,18,BH,18
TRANSFER04,10-Sep-17,M0503,,M430254,90007,CONTRAST COLLAR POLO,420,W17,18,BH,54
TRANSFER04,10-Sep-17,M0503,,M430340,90006,PIQUE ZIP NECK POLO,420,W17,14,BH,14
TRANSFER04,10-Sep-17,M0504,,M430342,90007,GRINDLE BOMBER,420,W17,18,BH,90
TRANSFER04,10-Sep-17,M0504,,M430385,90014,ESSENTIAL ZIP THRU CORE,420,W17,17,BH,34
TRANSFER04,10-Sep-17,M1202,,M270035,90005,SEARS L/S SHIRT,420,W17,12,BH,96
TRANSFER04,10-Sep-17,M1202,,M270036,90005,NELCHINA L/S SHIRT,420,W17,12,BH,108
TRANSFER04,10-Sep-17,M1204,,M270050,90004,HOUSTON PANEL KNIT,420,W17,12,BH,24
TRANSFER04,10-Sep-17,M3001,,M430425,90007,SPORTS SOCIETY ATHLETICS TEE,420,W17,23,BH,276
TRANSFER04,10-Sep-17,M3001,,M430428,90007,FOOTBALL ATHLETICS TEE,420,W17,23,BH,92
TRANSFER04,10-Sep-17,S0101,,F520078,90005,BASIC V,420,W17,16,BH,112
TRANSFER04,10-Sep-17,S0101,,F520104,90005,ACTIVE VEST AOP,420,W17,16,BH,80
TRANSFER04,10-Sep-17,S0201,,M291536,90006,WOVEN SHORT WITH BRIEF,420,W17,16,BH,64
TRANSFER04,10-Sep-17,S0201,,M291537,90006,WOVEN SHORT WITH BRIEF,420,W17,16,BH,48
TRANSFER04,10-Sep-17,S0201,,M291542,90006,TECH JOG,420,W17,14,BH,140
TRANSFER04,10-Sep-17,S0301,,C230003,90006,TECH ZIP THRO,420,W17,16,BH,64
TRANSFER04,10-Sep-17,S0302,,C017703,90006,LATTICE CAPRI LEGGING,420,W17,16,BH,48
TRANSFER04,10-Sep-17,C0301,,C017232,1,IB30B 2PK RIB LEGGINGS,420,S17,1,S,44
TRANSFER04,10-Sep-17,C0402,,B141759,1,2PK POCKET POLO PALE BLUE,420,Y17,1,S,3
TRANSFER04,10-Sep-17,C0801,,G022140,90007,5PK CROP TOPS GREY BLACK,420,Y17,3,S,90
TRANSFER04,10-Sep-17,L0401,,F268602,90007,PERFECT TEE,420,Y17,5,S,120
TRANSFER04,10-Sep-17,L0401,,F268602,90009,PERFECT TEE,420,Y17,1,S,160
TRANSFER04,10-Sep-17,L2501,,F773831,5,JESSIE HIGH WAISTED,420,Y17,1,S,3
TRANSFER04,10-Sep-17,L3702,,F362531,1,SATIN FULL SLIP WHITE,420,Y17,1,S,55
TRANSFER04,10-Sep-17,L3702,,F362531,5,SATIN FULL SLIP WHITE,420,Y17,1,S,59
TRANSFER04,10-Sep-17,L3702,,F362531,2,SATIN FULL SLIP WHITE,420,Y17,1,S,52
TRANSFER04,10-Sep-17,L3702,,F362531,5,SATIN FULL SLIP WHITE,420,Y17,1,S,60
TRANSFER04,10-Sep-17,L3702,,F363071,6,5 PACK WHITE MINI,420,Y17,1,S,70
TRANSFER04,10-Sep-17,L3702,,F363073,7,5 PACK WHITE THONG,420,Y17,1,S,9
TRANSFER04,10-Sep-17,L3702,,F364356,3,JACQUARD HIGH LEG BLUE,420,W17,1,S,344
TRANSFER04,10-Sep-17,L3702,,F364356,3,JACQUARD HIGH LEG BLUE,420,W17,1,S,180
TRANSFER04,10-Sep-17,L3702,,F364356,3,JACQUARD HIGH LEG BLUE,420,W17,1,S,344
TRANSFER04,10-Sep-17,M3301,,M039099,90003,5PK WORK SOCKS,420,Y17,4,S,24
TRANSFER04,10-Sep-17,L0401,,F268621,90007,PERFECT LS TEE,420,Y17,4,S,48
TRANSFER04,10-Sep-17,L0401,,F268602,90009,PERFECT TEE,420,Y17,5,S,160
TRANSFER04,10-Sep-17,L0401,,F268615,90011,BASIC CAMI,420,Y17,5,S,50
TRANSFER04,10-Sep-17,L3901,,F363527,90001,2PK COTTON FOOTSIES WHITE/NUDE,420,Y17,10,S,140
TRANSFER04,10-Sep-17,L3702,,F363269,90001,3 PACK SF HI LEG BLK,420,Y17,2,S,162
TRANSFER04,10-Sep-17,L3702,,F363270,90005,3 PACK SF HI LEG WHT,420,Y17,2,S,140
TRANSFER04,10-Sep-17,L3702,,F363270,90007,3 PACK SF HI LEG WHT,420,Y17,2,S,142
TRANSFER04,10-Sep-17,M0104,,M084200,90001,DESIGN MIX STRIPE TIE,420,W17,5,S,130
TRANSFER04,10-Sep-17,M0104,,M084202,90001,TP DASH & DOT TIE,420,W17,5,S,20
