CEVAGRNNO,CEVAGRNDATE,CEVAGRNLINENO,PONUMBER,CONTAINERNO,POLINENO,LINECODE7,PACKID,PACKBARCODE,PACKTYPE,CEVAGRNQTY,
MAT.0000521121,12/08/2017,75,0408-MPO/03315,MSKU954523,75,F362710,90036,3362710900368,BH,2,75
MAT.0000521121,12/08/2017,76,0408-MPO/03315,MSKU954523,76,F362710,90040,3362710900405,BH,2,76
MAT.0000521121,12/08/2017,77,0408-MPO/03315,MSKU954523,77,F362710,90043,3362710900436,BH,2,77
MAT.0000521121,12/08/2017,78,0408-MPO/03315,MSKU954523,78,F362712,90024,3362712900243,BH,1,78
MAT.0000521121,12/08/2017,79,0408-MPO/03315,MSKU954523,79,F362712,90025,3362712900250,BH,1,79
MAT.0000521121,12/08/2017,8,0408-MPO/03315,MSKU954523,8,G142237,90001,4142237900015,BH,4,8
MAT.0000521121,12/08/2017,80,0408-MPO/03315,MSKU954523,80,F362712,90047,3362712900472,BH,1,80
MAT.0000521121,12/08/2017,81,0408-MPO/03315,MSKU954523,81,F362712,90048,3362712900489,BH,1,81
MAT.0000521121,12/08/2017,82,0408-MPO/03315,MSKU954523,82,F362712,90049,3362712900496,BH,1,82
MAT.0000521121,12/08/2017,83,0408-MPO/03315,MSKU954523,83,F362712,90050,3362712900502,BH,1,83
MAT.0000521121,12/08/2017,84,0408-MPO/03315,MSKU954523,84,F362712,90051,3362712900519,BH,1,84
MAT.0000521121,12/08/2017,85,0408-MPO/03315,MSKU954523,85,F362712,90052,3362712900526,BH,1,85
MAT.0000521121,12/08/2017,86,0408-MPO/03315,MSKU954523,86,F362712,90053,3362712900533,BH,1,86
MAT.0000521121,12/08/2017,87,0408-MPO/03315,MSKU954523,87,F362712,90054,3362712900540,BH,1,87
MAT.0000521121,12/08/2017,88,0408-MPO/03315,MSKU954523,88,F362712,90055,3362712900557,BH,1,88
MAT.0000521121,12/08/2017,89,0408-MPO/03315,MSKU954523,89,F362712,90056,3362712900564,BH,1,89
MAT.0000521121,12/08/2017,9,0408-MPO/03315,MSKU954523,9,G142237,90006,4142237900060,BH,1,9
MAT.0000521121,12/08/2017,90,0408-MPO/03315,MSKU954523,90,F362712,90057,3362712900571,BH,1,90
MAT.0000521121,12/08/2017,91,0408-MPO/03315,MSKU954523,91,F362712,90058,3362712900588,BH,1,91
MAT.0000521121,12/08/2017,92,0408-MPO/03315,MSKU954523,92,F362712,90059,3362712900595,BH,1,92
MAT.0000521121,12/08/2017,93,0408-MPO/03315,MSKU954523,93,F362712,90060,3362712900601,BH,1,93
MAT.0000521121,12/08/2017,94,0408-MPO/03315,MSKU954523,94,F362712,90061,3362712900618,BH,1,94
MAT.0000521121,12/08/2017,95,0408-MPO/03315,MSKU954523,95,F362712,90062,3362712900625,BH,1,95
MAT.0000521121,12/08/2017,96,0408-MPO/03315,MSKU954523,96,F362712,90063,3362712900632,BH,1,96
MAT.0000521121,12/08/2017,97,0408-MPO/03315,MSKU954523,97,F362712,90064,3362712900649,BH,1,97
MAT.0000521121,12/08/2017,98,0408-MPO/03315,MSKU954523,98,F362712,90065,3362712900656,BH,1,98
MAT.0000521121,12/08/2017,99,0408-MPO/03315,MSKU954523,99,F362712,90066,3362712900663,BH,1,99
