ItemNo,LocationCode,ClsQuantity,SoldQuantity,UnitCost,UnitPrice,SeasonCode,DivisionCode,ItemCategoryCode,ItemProductGroup,ItemFamilyCode,GroupeFamille,LineCode7,OfferPrice,ProductGroupDesc
298227,4728,63.00000000000000000000,16.00000000000000000000,1.22353000000000000000,3.50000000000000000000,81,2,21,2140,2183,2180,,0.00000000000000000000,Women's Lingerie
298228,4728,25.00000000000000000000,39.00000000000000000000,3.15657000000000000000,9.00000000000000000000,81,2,21,2140,2184,2180,,0.00000000000000000000,Women's Lingerie
298229,4728,62.00000000000000000000,18.00000000000000000000,1.15667000000000000000,3.50000000000000000000,81,2,21,2140,2183,2180,,0.00000000000000000000,Women's Lingerie
298232,4728,16.00000000000000000000,48.00000000000000000000,2.66667000000000000000,9.00000000000000000000,81,2,21,2140,2184,2180,,4.50000000000000000000,Women's Lingerie
298233,4728,46.00000000000000000000,34.00000000000000000000,1.44757000000000000000,4.50000000000000000000,81,2,21,2140,2183,2180,,2.25000000000000000000,Women's Lingerie
298234,4728,4.00000000000000000000,32.00000000000000000000,5.68500000000000000000,16.50000000000000000000,81,2,21,2140,2187,2180,,8.25000000000000000000,Women's Lingerie
298235,4728,15.00000000000000000000,21.00000000000000000000,1.14600000000000000000,3.50000000000000000000,81,2,21,2140,2183,2180,,1.75000000000000000000,Women's Lingerie
298236,4728,0.00000000000000000000,35.00000000000000000000,6.12000000000000000000,16.50000000000000000000,81,2,21,2140,2187,2180,,8.25000000000000000000,Women's Lingerie
298238,4728,2.00000000000000000000,62.00000000000000000000,2.54500000000000000000,9.00000000000000000000,81,2,21,2140,2184,2180,,4.50000000000000000000,Women's Lingerie
298239,4728,55.00000000000000000000,20.00000000000000000000,1.45074000000000000000,4.50000000000000000000,81,2,21,2140,2183,2180,,2.25000000000000000000,Women's Lingerie
298240,4728,53.00000000000000000000,11.00000000000000000000,2.40583000000000000000,9.00000000000000000000,81,2,21,2140,2186,2180,,0.00000000000000000000,Women's Lingerie
298241,4728,79.00000000000000000000,1.00000000000000000000,1.32385000000000000000,4.50000000000000000000,81,2,21,2140,2183,2180,,0.00000000000000000000,Women's Lingerie
298242,4728,27.00000000000000000000,37.00000000000000000000,2.54352000000000000000,9.00000000000000000000,81,2,21,2140,2184,2180,,0.00000000000000000000,Women's Lingerie
298243,4728,65.00000000000000000000,15.00000000000000000000,1.44172000000000000000,4.50000000000000000000,81,2,21,2140,2183,2180,,0.00000000000000000000,Women's Lingerie
298246,4728,14.00000000000000000000,17.00000000000000000000,2.47319000000000000000,9.00000000000000000000,81,2,21,2140,2184,2180,,0.00000000000000000000,Women's Lingerie
